date,open,close,open_return,action,trades,pnl,return_pct,capital
2026-01-06,3.278,3.303,-0.09143553794575171,观望,0,0.0,0.0,200000.0
2026-01-07,3.311,3.311,0.24220405691795358,观望,0,0.0,0.0,200000.0
2026-01-08,3.291,3.287,-0.6040471156750232,看跌,2,-24.380224412216123,-0.01219011220610806,199970.61977558778
2026-01-09,3.269,3.314,-0.5476118040766594,看跌,4,-246.2782066855261,-0.12315719527293854,199714.34156890225
2026-01-12,3.314,3.371,0.0,观望,0,0.0,0.0,199714.34156890225
2026-01-13,3.372,3.306,0.02966478789676327,观望,0,0.0,0.0,199714.34156890225
2026-01-14,3.307,3.332,0.030248033877794612,观望,0,0.0,0.0,199714.34156890225
2026-01-15,3.306,3.352,-0.7803121248499341,看跌,4,-219.9335906877088,-0.11012408471017632,199484.40797821456
2026-01-16,3.382,3.346,0.8949880668257831,看涨,4,152.39723273466788,0.07639556107628773,199626.8052109492
2026-01-19,3.327,3.318,-0.5678421996413666,看跌,2,-49.476107769351735,-0.024784300744115726,199572.32910317986
2026-01-20,3.319,3.263,0.030138637733571123,观望,0,0.0,0.0,199572.32910317986
2026-01-21,3.243,3.281,-0.6129328838492191,看跌,4,-248.29886901257717,-0.12441547890349341,199314.0302341673
2026-01-22,3.298,3.315,0.5181347150259038,看涨,4,361.4843841091873,0.18136424399451037,199947.80262828243
2026-01-23,3.322,3.337,0.21116138763197942,观望,0,0.0,0.0,199947.80262828243
2026-01-26,3.352,3.305,0.44950554390169856,观望,0,0.0,0.0,199947.80262828243
2026-01-27,3.31,3.327,0.15128593040846877,观望,0,0.0,0.0,199947.80262828243
2026-01-28,3.342,3.307,0.45085662759242934,观望,0,0.0,0.0,199947.80262828243
2026-01-29,3.297,3.292,-0.30238887208950066,观望,0,0.0,0.0,199947.80262828243
2026-01-30,3.286,3.335,-0.18226002430133,观望,0,0.0,0.0,199947.80262828243
2026-02-02,3.338,3.252,0.08995502248875904,观望,0,0.0,0.0,199947.80262828243
2026-02-03,3.302,3.313,1.5375153751537598,看涨,4,184.09116172613653,0.09206960982130695,200258.13568414256
2026-02-04,3.29,3.297,-0.6942348324781205,看跌,2,28.568244471657295,0.014265709792043904,200281.7039286142
2026-02-05,3.264,3.238,-1.0009099181073813,看跌,2,-135.82958677226614,-0.06781926861411139,200140.87434184193
2026-02-06,3.21,3.229,-0.8647313156269311,看跌,4,-110.66775932840139,-0.055294931478804335,200020.20658251352
2026-02-09,3.288,3.321,1.8271910808299696,看涨,4,316.2911320058648,0.15812958970992091,200474.88195648315
2026-02-10,3.327,3.311,0.18066847335139363,观望,0,0.0,0.0,200474.88195648315
2026-02-11,3.3,3.273,-0.33222591362126613,观望,0,0.0,0.0,200474.88195648315
2026-02-12,3.28,3.319,0.2138710663000206,观望,0,0.0,0.0,200474.88195648315
2026-02-13,3.303,3.265,-0.48207291352817155,观望,0,0.0,0.0,200474.88195648315
2026-02-24,3.318,3.295,1.6232771822358327,看涨,4,126.55322159557213,0.0631267220913206,200591.4351780787
2026-02-25,3.301,3.344,0.18209408194234378,观望,0,0.0,0.0,200591.4351780787
2026-02-26,3.338,3.336,-0.1794258373205677,观望,0,0.0,0.0,200591.4351780787
2026-02-27,3.31,3.301,-0.7793764988009534,看跌,2,-49.30498266400712,-0.024579804526666714,200537.1301954147
2026-03-02,3.251,3.282,-1.514692517418972,看跌,4,-187.73140168856574,-0.09361428554683597,200339.39879372614
2026-03-03,3.303,3.205,0.6398537477148052,看涨,4,510.91882093585593,0.25502663181190294,200840.317614662
2026-03-04,3.17,3.154,-1.0920436817472743,看跌,2,-84.5566095046886,-0.04210141196197535,200750.7610051573
2026-03-05,3.216,3.206,1.9657577679137692,看涨,2,-54.98696885423648,-0.02739066521039183,200690.77403630308
2026-03-06,3.191,3.225,-0.4678727386151006,观望,0,0.0,0.0,200690.77403630308
2026-03-09,3.183,3.201,-1.302325581395357,看跌,4,-135.99406830160518,-0.0677629895816761,200544.77996800147
2026-03-10,3.267,3.296,2.0618556701030877,看涨,4,376.505244246295,0.1877412338064194,201143.36283305215
2026-03-11,3.303,3.335,0.21237864077670257,观望,0,0.0,0.0,201143.36283305215
2026-03-12,3.34,3.308,0.14992503748125618,观望,0,0.0,0.0,201143.36283305215
2026-03-13,3.29,3.3,-0.544135429262388,看跌,2,42.57823389875529,0.021168102839214727,201180.9410669509
2026-03-16,3.308,3.349,0.24242424242424265,观望,0,0.0,0.0,201180.9410669509
2026-03-17,3.369,3.273,0.5971931919976118,看涨,4,542.026650863866,0.2694224651645731,201712.96771781478
2026-03-18,3.293,3.338,0.6110601894286593,看涨,4,503.80651530159173,0.24976406871688536,202471.27599664382
2026-03-19,3.297,3.303,-1.2282804074295963,看跌,2,23.997844090709325,0.011852468441551736,202490.27384073453
2026-03-20,3.337,3.341,1.0293672419013096,看涨,2,15.521007709731474,0.007665063321480455,202500.79484844426
2026-03-23,3.3,3.228,-1.2271774917689424,看跌,2,-394.05814780413203,-0.19459585237630955,202101.73670064012
2026-03-24,3.275,3.237,1.4560099132589748,看涨,4,236.05747385202866,0.11680130893762923,202327.79417449216
2026-03-25,3.279,3.307,1.297497683039846,看涨,4,451.77800485117416,0.22329013504765954,203081.72457041775
2026-03-26,3.306,3.263,-0.030238887208947383,观望,0,0.0,0.0,203081.72457041775
2026-03-27,3.241,3.293,-0.6742261722341342,看跌,4,-307.943368166666,-0.15163519455926616,202763.7812022511
2026-03-30,3.242,3.264,-1.5487397509869467,看跌,4,-147.55796235818198,-0.07277333332573686,202606.22323989292
